"Mortality statistics - underlying cause, sex and age",,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 17 January 2024],,,,,,,,,,
,,,,,,,,,,
cause of death,"A00-R99,U00-Y89 All causes, all ages",,,,,,,,,
gender,Total,,,,,,,,,
age,total (all ages),,,,,,,,,
measure,Age-standardised mortality rate,,,,,,,,,
,,,,,,,,,,
local authority: county / unitary (as of April 2021),2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Flintshire,"1,056.13",959.88,"1,035.66","1,012.90",974.11,987.21,974.81,"1,099.99","1,003.41","1,036.15"
Wrexham,"1,056.45","1,103.30","1,145.98","1,123.11","1,094.15","1,104.25","1,025.15","1,167.80","1,185.25","1,081.61"
Powys,917.07,868.76,934.26,906.71,913.09,960.10,908.25,953.39,967.15,925.96
Ceredigion,910.18,876.26,958.56,911.13,868.31,984.15,906.10,987.68,929.52,981.61
Pembrokeshire,986.97,925.70,"1,044.42",971.02,"1,008.70",986.46,997.06,995.77,"1,005.27","1,012.85"
Carmarthenshire,"1,055.89","1,032.22","1,082.10","1,087.46","1,051.52","1,107.48","1,012.19","1,073.45","1,154.79","1,087.16"
Swansea,"1,078.77","1,006.29","1,085.94","1,113.56","1,097.85","1,074.84","1,010.65","1,199.40","1,088.32","1,090.31"
Neath Port Talbot,"1,133.40","1,107.97","1,155.80","1,185.49","1,149.26","1,192.17","1,091.50","1,274.37","1,226.11","1,127.68"
Bridgend,"1,113.82","1,126.38","1,158.88","1,117.38","1,165.16","1,166.92","1,124.70","1,262.89","1,138.68","1,013.10"
Vale of Glamorgan,994.77,939.72,993.13,976.02,950.24,957.50,943.18,986.48,"1,001.15",874.61
Cardiff,"1,061.09","1,014.31","1,033.93","1,033.99","1,025.52","1,089.46",990.78,"1,121.31","1,082.29","1,010.47"
Rhondda Cynon Taff,"1,245.32","1,174.86","1,196.53","1,148.28","1,124.11","1,165.61","1,156.39","1,373.09","1,193.83","1,090.11"
Merthyr Tydfil,"1,165.39","1,139.59","1,154.58","1,202.21","1,212.77","1,280.21","1,185.25","1,412.95","1,265.09","1,280.78"
Caerphilly,"1,164.56","1,116.90","1,187.40","1,128.83","1,136.62","1,148.16","1,079.52","1,256.26","1,182.64","1,215.76"
Blaenau Gwent,"1,278.20","1,212.22","1,213.99","1,259.33","1,305.04","1,305.51","1,207.99","1,481.22","1,350.79","1,320.52"
Torfaen,"1,083.99","1,030.98","1,066.36","1,076.77","1,145.62","1,094.24","1,080.93","1,223.84","1,085.66","1,172.93"
Monmouthshire,894.23,852.63,908.15,885.11,895.12,878.24,840.19,880.33,903.22,936.12
Newport,"1,093.00","1,049.56","1,118.32","1,112.37","1,088.74","1,118.41","1,035.68","1,215.81","1,089.16","1,132.02"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Mortality statistics - underlying cause, sex and age",,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 17 January 2024],,,,,,,,,,
,,,,,,,,,,
cause of death,LC01b Accidental falls,,,,,,,,,
gender,Total,,,,,,,,,
age,total (all ages),,,,,,,,,
measure,Age-standardised mortality rate,,,,,,,,,
,,,,,,,,,,
local authority: county / unitary (as of April 2021),2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Darlington,8.15,8.09,7.61,9.55,8.88,3.54,6.72,13.41,13.75,16.84
County Durham,10.84,9.18,12.27,9.63,12.43,12.06,8.53,17.06,11.22,18.06
Hartlepool,4.48,10.82,8.66,3.36,9.32,5.41,9.87,7.89,7.39,8.32
Middlesbrough,7.88,17.23,12.08,7.68,4.69,15.05,19.72,15.73,14.26,17.86
Northumberland,7.50,13.88,17.86,21.06,14.46,14.23,16.62,6.50,10.51,12.06
Redcar and Cleveland,4.38,11.77,8.43,6.44,8.60,7.29,18.62,16.45,11.40,14.87
Stockton-on-Tees,7.19,10.93,10.54,9.20,8.07,8.22,9.14,10.73,10.54,13.04
Gateshead,5.66,12.62,8.97,6.84,2.84,5.95,5.59,5.76,9.80,11.64
Newcastle upon Tyne,8.27,13.90,6.89,17.85,7.79,12.78,14.92,12.92,13.44,16.99
North Tyneside,20.74,25.02,17.75,19.03,17.44,22.27,27.83,15.17,17.85,15.72
South Tyneside,8.08,9.32,10.93,9.79,6.24,16.00,4.63,8.66,12.67,8.97
Sunderland,9.38,5.79,6.75,8.86,11.86,8.29,9.71,12.13,4.97,8.69
Blackburn with Darwen,16.31,12.60,11.58,14.97,13.57,17.62,17.21,11.68,5.18,17.54
Blackpool,5.27,10.89,12.37,11.03,4.24,10.19,10.57,11.18,10.68,11.42
Cheshire East,9.01,10.47,13.47,16.85,12.30,12.86,12.72,9.21,9.06,13.25
Cheshire West and Chester,9.70,16.46,15.50,18.56,16.10,14.04,14.35,9.94,10.73,15.42
Halton,7.85,7.32,13.74,15.23,15.79,4.39,9.13,12.57,12.80,20.91
Warrington,8.72,9.19,17.20,12.34,19.01,8.97,13.89,10.33,11.75,11.35
Cumbria,11.62,10.83,7.69,6.52,6.91,9.91,9.39,8.07,7.56,12.27
Bolton,16.83,15.28,11.15,21.77,12.91,12.17,12.41,9.59,17.79,18.59
Bury,13.90,12.36,15.55,17.45,16.38,15.56,19.74,14.74,16.87,15.08
Manchester,19.39,20.39,23.02,26.43,14.66,19.16,22.16,35.35,26.86,15.75
Oldham,7.11,16.35,15.90,12.84,13.45,13.32,17.37,12.51,20.99,26.90
Rochdale,10.96,18.82,16.10,16.37,16.04,19.34,17.84,14.41,23.10,18.93
Salford,20.81,15.08,16.43,17.38,13.96,18.52,15.88,16.70,25.61,16.13
Stockport,23.36,18.76,22.97,21.49,22.33,18.21,20.46,21.70,19.15,21.96
Tameside,25.79,27.11,23.76,30.78,18.22,22.20,19.93,18.71,16.20,36.02
Trafford,20.19,18.11,20.49,18.32,16.60,16.65,22.82,14.13,21.65,18.69
Wigan,11.95,15.44,12.03,11.11,17.73,14.91,17.27,8.79,15.63,15.08
