"","Service","SupportSetting","DH_GEOGRAPHY_NAME","Sector","Expenditure","year","percent_sector"
"253","C1","assessment_care_management","ISLE OF WIGHT","In House","1789",2001,100
"254","C1","assessment_care_management","ISLE OF WIGHT","External","0",2001,0
"255","C1","assessment_care_management","ISLE OF WIGHT","Total","1789",2001,100
"256","C1","assessment_care_management","KINGSTON UPON HULL","In House","3186.562",2001,99.4258592064869
"257","C1","assessment_care_management","KINGSTON UPON HULL","External","18.401",2001,0.574140793513061
"258","C1","assessment_care_management","KINGSTON UPON HULL","Total","3204.963",2001,100
"259","C1","assessment_care_management","LEICESTER","In House","3814.00254137482",2001,100
"260","C1","assessment_care_management","LEICESTER","External","0",2001,0
"261","C1","assessment_care_management","LEICESTER","Total","3814.00254137482",2001,100
"262","C1","assessment_care_management","LUTON","In House","2373",2001,97.7347611202636
"263","C1","assessment_care_management","LUTON","External","55",2001,2.26523887973641
"264","C1","assessment_care_management","LUTON","Total","2428",2001,100
"265","C1","assessment_care_management","MEDWAY TOWNS","In House","2268.56764048318",2001,100
"266","C1","assessment_care_management","MEDWAY TOWNS","External","0",2001,0
"267","C1","assessment_care_management","MEDWAY TOWNS","Total","2268.56764048318",2001,100
"268","C1","assessment_care_management","MIDDLESBROUGH","In House","1029",2001,98.8472622478386
"269","C1","assessment_care_management","MIDDLESBROUGH","External","12",2001,1.15273775216138
"270","C1","assessment_care_management","MIDDLESBROUGH","Total","1041",2001,100
"271","C1","assessment_care_management","MILTON KEYNES","In House","1432",2001,100
"272","C1","assessment_care_management","MILTON KEYNES","External","0",2001,0
"273","C1","assessment_care_management","MILTON KEYNES","Total","1432",2001,100
"274","C1","assessment_care_management","NORTH EAST LINCOLNSHIRE","In House","1811",2001,99.7796143250689
"275","C1","assessment_care_management","NORTH EAST LINCOLNSHIRE","External","4",2001,0.220385674931129
"276","C1","assessment_care_management","NORTH EAST LINCOLNSHIRE","Total","1815",2001,100
"277","C1","assessment_care_management","NORTH LINCOLNSHIRE","In House","2042.07676767677",2001,98.3149395080303
"278","C1","assessment_care_management","NORTH LINCOLNSHIRE","External","35",2001,1.68506049196958
"279","C1","assessment_care_management","NORTH LINCOLNSHIRE","Total","2077.07676767677",2001,100
"280","C1","assessment_care_management","NORTH SOMERSET","In House","1526.26476709613",2001,98.6804289878545
"281","C1","assessment_care_management","NORTH SOMERSET","External","20.4094648166501",2001,1.31957101214583
"282","C1","assessment_care_management","NORTH SOMERSET","Total","1546.67423191278",2001,100
"283","C1","assessment_care_management","NOTTINGHAM","In House","4226",2001,100
"284","C1","assessment_care_management","NOTTINGHAM","External","0",2001,0
"285","C1","assessment_care_management","NOTTINGHAM","Total","4226",2001,100
"286","C1","assessment_care_management","PETERBOROUGH","In House","1865.68416042923",2001,100
"287","C1","assessment_care_management","PETERBOROUGH","External","0",2001,0
"288","C1","assessment_care_management","PETERBOROUGH","Total","1865.68416042923",2001,100
"289","C1","assessment_care_management","PLYMOUTH","In House","2733",2001,100
"290","C1","assessment_care_management","PLYMOUTH","External","0",2001,0
"291","C1","assessment_care_management","PLYMOUTH","Total","2733",2001,100
"292","C1","assessment_care_management","POOLE","In House","1439",2001,100
"293","C1","assessment_care_management","POOLE","External","0",2001,0
"294","C1","assessment_care_management","POOLE","Total","1439",2001,100
"295","C1","assessment_care_management","PORTSMOUTH","In House","3257",2001,98.9668793679733
"296","C1","assessment_care_management","PORTSMOUTH","External","34",2001,1.03312063202674
"297","C1","assessment_care_management","PORTSMOUTH","Total","3291",2001,100
"298","C1","assessment_care_management","READING","In House","1240.54529208561",2001,95.3270278664947
"299","C1","assessment_care_management","READING","External","60.8120667350081",2001,4.67297213350529
"300","C1","assessment_care_management","READING","Total","1301.35735882062",2001,100
"301","C1","assessment_care_management","REDCAR AND CLEVELAND","In House","915",2001,100
"302","C1","assessment_care_management","REDCAR AND CLEVELAND","External","0",2001,0
"303","C1","assessment_care_management","REDCAR AND CLEVELAND","Total","915",2001,100
"304","C1","assessment_care_management","RUTLAND","In House","244.967566436493",2001,95.0221101344053
"305","C1","assessment_care_management","RUTLAND","External","12.8330297510625",2001,4.9778898655945
"306","C1","assessment_care_management","RUTLAND","Total","257.800596187556",2001,100
"307","C1","assessment_care_management","SLOUGH","In House","156",2001,100
"308","C1","assessment_care_management","SLOUGH","External","0",2001,0
"309","C1","assessment_care_management","SLOUGH","Total","156",2001,100
"310","C1","assessment_care_management","SOUTH GLOUCESTERSHIRE","In House","1987.97507814243",2001,99.9999999999999
"311","C1","assessment_care_management","SOUTH GLOUCESTERSHIRE","External","0",2001,0
"312","C1","assessment_care_management","SOUTH GLOUCESTERSHIRE","Total","1987.97507814243",2001,100
"313","C1","assessment_care_management","SOUTHAMPTON","In House","2614",2001,97.5737215378873
"314","C1","assessment_care_management","SOUTHAMPTON","External","65",2001,2.42627846211273
"315","C1","assessment_care_management","SOUTHAMPTON","Total","2679",2001,100
"316","C1","assessment_care_management","SOUTHEND ON SEA","In House","1439",2001,99.5847750865052
"317","C1","assessment_care_management","SOUTHEND ON SEA","External","6",2001,0.41522491349481
"318","C1","assessment_care_management","SOUTHEND ON SEA","Total","1445",2001,100
"319","C1","assessment_care_management","STOCKTON ON TEES","In House","837.499250224932",2001,100
"320","C1","assessment_care_management","STOCKTON ON TEES","External","0",2001,0
"321","C1","assessment_care_management","STOCKTON ON TEES","Total","837.499250224932",2001,100
"322","C1","assessment_care_management","STOKE ON TRENT","In House","2879",2001,100
"323","C1","assessment_care_management","STOKE ON TRENT","External","0",2001,0
"324","C1","assessment_care_management","STOKE ON TRENT","Total","2879",2001,100
"325","C1","assessment_care_management","SWINDON","In House","2234",2001,100
"326","C1","assessment_care_management","SWINDON","External","0",2001,0
"327","C1","assessment_care_management","SWINDON","Total","2234",2001,100
"328","C1","assessment_care_management","TELFORD AND WREKIN","In House","1352",2001,96.5024982155603
"329","C1","assessment_care_management","TELFORD AND WREKIN","External","49",2001,3.49750178443969
"330","C1","assessment_care_management","TELFORD AND WREKIN","Total","1401",2001,100
"331","C1","assessment_care_management","THURROCK","In House","1499.3706769633",2001,99.1273135066651
"332","C1","assessment_care_management","THURROCK","External","13.2",2001,0.872686493334703
"333","C1","assessment_care_management","THURROCK","Total","1512.5706769633",2001,100
"334","C1","assessment_care_management","TORBAY","In House","3151.87451654491",2001,99.9999999999999
"335","C1","assessment_care_management","TORBAY","External","0",2001,0
"336","C1","assessment_care_management","TORBAY","Total","3151.87451654491",2001,100
"337","C1","assessment_care_management","WARRINGTON","In House","2354.93266832918",2001,99.6947638804452
"338","C1","assessment_care_management","WARRINGTON","External","7.21011296395912",2001,0.305236119554635
"339","C1","assessment_care_management","WARRINGTON","Total","2362.14278129314",2001,100
"340","C1","assessment_care_management","WEST BERKSHIRE","In House","1190",2001,100
"341","C1","assessment_care_management","WEST BERKSHIRE","External","0",2001,0
"342","C1","assessment_care_management","WEST BERKSHIRE","Total","1190",2001,100
"343","C1","assessment_care_management","WINDSOR AND MAIDENHEAD","In House","986",2001,99.7975708502024
"344","C1","assessment_care_management","WINDSOR AND MAIDENHEAD","External","2",2001,0.202429149797571
"345","C1","assessment_care_management","WINDSOR AND MAIDENHEAD","Total","988",2001,100
"346","C1","assessment_care_management","WOKINGHAM","In House","1359.07608470002",2001,100
"347","C1","assessment_care_management","WOKINGHAM","External","0",2001,0
"348","C1","assessment_care_management","WOKINGHAM","Total","1359.07608470002",2001,100
"349","C1","assessment_care_management","YORK","In House","1856.932",2001,99.3351203967559
"350","C1","assessment_care_management","YORK","External","12.429",2001,0.664879603244103
"351","C1","assessment_care_management","YORK","Total","1869.361",2001,100
"352","C1","assessment_care_management","CAMDEN","In House","4730.20119336526",2001,99.9505869859269
"353","C1","assessment_care_management","CAMDEN","External","2.3384905",2001,0.0494130140730285
"354","C1","assessment_care_management","CAMDEN","Total","4732.53968386526",2001,100
"355","C1","assessment_care_management","LONDON","In House","475",2001,100
"356","C1","assessment_care_management","LONDON","External","0",2001,0
"357","C1","assessment_care_management","LONDON","Total","475",2001,100
"358","C1","assessment_care_management","GREENWICH","In House","4058.11721723878",2001,99.5676982015911
"359","C1","assessment_care_management","GREENWICH","External","17.6194830537707",2001,0.432301798408763
"360","C1","assessment_care_management","GREENWICH","Total","4075.73670029256",2001,100
"361","C1","assessment_care_management","HACKNEY","In House","3179.98343308419",2001,99.9999999999999
"362","C1","assessment_care_management","HACKNEY","External","0",2001,0
"363","C1","assessment_care_management","HACKNEY","Total","3179.98343308419",2001,100
"364","C1","assessment_care_management","HAMMERSMITH AND FULHAM","In House","2572.51638235889",2001,100
"365","C1","assessment_care_management","HAMMERSMITH AND FULHAM","External","0",2001,0
"366","C1","assessment_care_management","HAMMERSMITH AND FULHAM","Total","2572.51638235889",2001,100
"367","C1","assessment_care_management","ISLINGTON","In House","2173",2001,100
"368","C1","assessment_care_management","ISLINGTON","External","0",2001,0
